continent,country,city,address,email,phone,latitude,longitude
Africa,South Africa,Johannesburg," ThoughtWorks South Africa 17 Melle Street 2nd Floor, South Point Building Braamfontein Johannesburg 2001", info-za@thoughtworks.com,+27 (0)10 003 2728, -26.194082, 28.035857
Africa, Uganda, Kampala, "ThoughtWorks Uganda Limited Soliz House, 23, Lumumba Avenue Nakasero Kampala", info-ug@thoughtworks.com, +256 (0)204 007 007, 0.322955, 32.576605
Australia, Australia, Brisbane, " ThoughtWorks Australia Pty. Ltd.  Level 19,127 Creek Street Brisbane, QLD 4000, Australia ", info-au@thoughtworks.com , +61 7 3129 4506, -27.465812, 153.027588
Australia, Australia, Melbourne, " ThoughtWorks Australia Pty. Ltd.  Level 23, 303 Collins Street Melbourne, VIC 3000, Australia GPO Box 4701, VIC 3001 ", info-au@thoughtworks.com , +61 3 9691 6500, -37.817357, 144.959681
Australia, Australia, Perth, " ThoughtWorks Australia Pty. Ltd.  Level 20, 44 St Georges Terrace Perth, WA 6000, Australia ", info-au@thoughtworks.com , +61 8 6369 1040, -31.955227, 115.859348
Asia, Singapore, Singapore, " ThoughtWorks Singapore Pte. Ltd.  87B Amoy Street, Level 3 Singapore 069906 ", info-sg@thoughtworks.com , +65 6513 6970 / 71, 1.280914, 103.847075
Australia, Australia, Sydney, " ThoughtWorks Australia Pty Ltd.  Level 8, 51 Pitt St Sydney NSW 2000 Australia ", info-au@thoughtworks.com , +61 2 9224 1700, -33.863048, 151.209082
Asia, China, Beijing, " ThoughtWorks Software Technologies Ltd.  Room 1105, 11th Floor GuoHua Plaza No.3 Dongzhimen South Street, Dongcheng District Beijing, China, 100007 ", info-cn@thoughtworks.com , +86 10 5693 3000, 39.937086, 116.453834
Asia, China, Chengdu, " ThoughtWorks Software Technologies (Chengdu) Ltd.  Room 5,7th floor, Area E1 Tianfu Software Park, No.1268 Tianfu Avenue Middle Rd Gaoxin District, Chengdu, Sichuan, 610041 ", info-cn@thoughtworks.com , +86 28 8531 8996, 30.539098, 104.068058
Asia, China, Shanghai, " ThoughtWorks Software Technologies (Shanghai) Ltd.  Room Temp 208 No. 369, Kaixuan Road Changning District, Shanghai, 200051 ", info-cn@thoughtworks.com , +86 21 6252 3338, 31.203589, 121.419139
Asia, China, Wuhan, " ThoughtWorks Software Technologies (Wuhan) Ltd.  16F-16 Guang Gu World City Plaza, Luoyu Rd. Hongshan District Wuhan, China 430070 ", info-cn@thoughtworks.com , +86 27 8722 7933, 30.5058906,114.4028664
Asia, China, Xi'an, " ThoughtWorks Software Technologies Ltd.  Room 01, 15th floor, Building 1, IT Incubator 2nd Area of National Service Outsourcing Demonstration Base No.34 1st Jinye Road, Hi-tech Development District Xi'an, Shaanxi, China, 710062 ", info-cn@thoughtworks.com , +86 (0)29 6865 9600, 34.191446,108.88258
Europe, Germany, Hamburg, " ThoughtWorks Deutschland GmbH Grosser Burstah 46-48 20457 Hamburg Germany ", info-de@thoughtworks.com , +49 (040) 300 95 880, 53.548754, 9.988496
